Gene Symbol	Description	Category
TPTE	tensin, putative protein-tyrosine phosphatase, EC 3.1.3.48.	1.1
CYC1LP4	cytochrome c pseudogene	5
Pseudo1	putative zinc finger protein pseudogene	5
PRED1	putative gene, protein kinase C ETA type (EC 2.7.1.) like	3.2
ORLP1	pheromone receptor pseudogene	5
Pseudo1.1	pseudogene similar to cDNA DKFZp586E1423	5
A1BG	alpha-1-B glycoprotein	1.1
A2M	alpha-2-macroglobulin	2.1
A2MP	alpha-2-macroglobulin pseudogene	3.2
AA	atrophia areata, peripapillary chorioretinal degeneration	5
AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	5
AACP	arylamide acetylase pseudogene	5
